ticker,date,adj_open,adj_close,adj_high,adj_low,adj_volume
ABT,2000-01-03,10.14367358716,10.071732639733,10.35949642944,9.9997916923064,10635000
BA,2000-01-03,28.154173631036,27.180308388934,28.194751349457,26.923316172268,2638200
CA,2000-01-03,54.980297411392,53.684207264576,54.980297411392,53.492477952917,3176300
GE,2000-01-03,29.58572493287,29.005612679284,29.719150751195,28.848982370816,22069800
IBM,2000-01-03,82.542050637224,85.155441781555,85.155441781555,82.123614414677,10347700
MMM,2000-01-03,31.338145731084,30.790070727667,31.462115077095,30.685675488921,2173400
ABT,2000-01-04,9.9105849174973,9.7839688500264,9.9997916923064,9.7120279025997,10734600
BA,2000-01-04,26.970656843759,27.139730670513,27.816025977528,26.882738453847,3592100
CA,2000-01-04,53.016989260002,53.684207264576,54.113680922693,52.004658494441,2568200
GE,2000-01-04,28.473843113497,27.845388172113,28.618871176894,27.845388172113,22121400
IBM,2000-01-04,83.687244509459,82.263093155526,84.054293827483,81.389515778629,8227800
MMM,2000-01-04,30.300718046045,29.566689023612,30.930351829732,29.566689023612,2713800
ABT,2000-01-05,9.6573527825554,9.7292937299821,10.037200984968,9.6573527825554,11722500
BA,2000-01-05,28.404402894631,29.040120483225,29.290349746821,27.985099804282,7631700
CA,2000-01-05,50.041350343051,49.036688749957,50.041350343051,47.456839221885,5085700
GE,2000-01-05,27.797045484314,27.797045484314,28.425500425698,27.566934290392,27292800
IBM,2000-01-05,82.909099955248,85.155441781555,87.908311666734,82.307139073689,12733200
MMM,2000-01-05,29.729806584152,31.073895283008,31.093469390273,29.729806584152,3699400
ABT,2000-01-06,9.7839688500264,10.109141932395,10.14367358716,9.7292937299821,17479500
BA,2000-01-06,28.573476721385,29.121275920067,29.378268136733,27.816025977528,4922200
CA,2000-01-06,48.507515849778,45.248117551571,48.890974473096,44.910673963051,3903700
GE,2000-01-06,27.677155618573,28.168317326609,28.413898180627,27.580470242975,19873200
IBM,2000-01-06,86.623639053651,83.687244509459,87.313691771536,83.320195191435,7971900
MMM,2000-01-06,30.767234269191,32.88450020501,33.439099910848,30.767234269191,5975800
ABT,2000-01-07,9.9278507448797,10.215614534586,10.431437376866,9.9278507448797,15755900
BA,2000-01-07,29.67583807182,29.966645053836,30.352133378835,29.547341963487,6008300
CA,2000-01-07,46.015034798208,45.056388239912,46.444508456325,44.964358170316,2984000
GE,2000-01-07,28.618871176894,29.25892836335,29.369149691531,28.425500425698,20141400
IBM,2000-01-07,86.073065076615,83.320195191435,86.579593135488,81.205991119617,11856700
MMM,2000-01-07,32.982370741334,33.536970447173,33.863205568254,32.60393800088,4101200
ABT,2000-01-10,10.35949642944,10.14367358716,10.376762256822,10.037200984968,10442000
BA,2000-01-10,29.966645053836,29.547341963487,30.095141162169,29.418845855154,2403500
CA,2000-01-10,46.206764109867,48.078042191661,49.082703784755,46.114734040271,3171300
GE,2000-01-10,29.525779999999,29.247326118278,29.790697929137,29.224121628135,15226500
