None,ticker,date,adj_open,adj_close,adj_high,adj_low,adj_volume
18343,BA,2000-01-03,28.154173631036,27.180308388934,28.194751349457,26.923316172268,2638200.0
13757,CA,2000-01-03,54.980297411392,53.684207264576,54.980297411392,53.492477952917,3176300.0
9171,GE,2000-01-03,29.58572493287,29.005612679284,29.719150751195,28.848982370816,22069800.0
4585,IBM,2000-01-03,82.542050637224,85.155441781555,85.155441781555,82.123614414677,10347700.0
18342,BA,2000-01-04,26.970656843759,27.139730670513,27.816025977528,26.882738453847,3592100.0
13756,CA,2000-01-04,53.016989260002,53.684207264576,54.113680922693,52.004658494441,2568200.0
9170,GE,2000-01-04,28.473843113497,27.845388172113,28.618871176894,27.845388172113,22121400.0
4584,IBM,2000-01-04,83.687244509459,82.263093155526,84.054293827483,81.389515778629,8227800.0
18341,BA,2000-01-05,28.404402894631,29.040120483225,29.290349746821,27.985099804282,7631700.0
13755,CA,2000-01-05,50.041350343051,49.036688749957,50.041350343051,47.456839221885,5085700.0
9169,GE,2000-01-05,27.797045484314,27.797045484314,28.425500425698,27.566934290392,27292800.0
4583,IBM,2000-01-05,82.909099955248,85.155441781555,87.908311666734,82.307139073689,12733200.0
18340,BA,2000-01-06,28.573476721385,29.121275920067,29.378268136733,27.816025977528,4922200.0
13754,CA,2000-01-06,48.507515849778,45.248117551571,48.890974473096,44.910673963051,3903700.0
9168,GE,2000-01-06,27.677155618573,28.168317326609,28.413898180627,27.580470242975,19873200.0
4582,IBM,2000-01-06,86.623639053651,83.687244509459,87.313691771536,83.320195191435,7971900.0
18339,BA,2000-01-07,29.67583807182,29.966645053836,30.352133378835,29.547341963487,6008300.0
13753,CA,2000-01-07,46.015034798208,45.056388239912,46.444508456325,44.964358170316,2984000.0
9167,GE,2000-01-07,28.618871176894,29.25892836335,29.369149691531,28.425500425698,20141400.0
4581,IBM,2000-01-07,86.073065076615,83.320195191435,86.579593135488,81.205991119617,11856700.0
18338,BA,2000-01-10,29.966645053836,29.547341963487,30.095141162169,29.418845855154,2403500.0
13752,CA,2000-01-10,46.206764109867,48.078042191661,49.082703784755,46.114734040271,3171300.0
9166,GE,2000-01-10,29.525779999999,29.247326118278,29.790697929137,29.224121628135,15226500.0
4580,IBM,2000-01-10,86.073065076615,86.623639053651,87.629354185036,84.692959640845,8540500.0
18337,BA,2000-01-11,29.337690418312,29.080698201646,29.71641579024,28.911624374893,2450000.0
13751,CA,2000-01-11,48.507515849778,50.187064619912,50.907966831751,48.315786538118,2538200.0
9165,GE,2000-01-11,29.198983430479,29.295668806077,29.525779999999,29.127436252537,15123000.0
4579,IBM,2000-01-11,86.528206230964,87.357737689698,88.91402679812,85.610582935904,7873300.0
18336,BA,2000-01-12,28.911624374893,29.121275920067,29.885489616994,28.742550548139,2327800.0
13750,CA,2000-01-12,51.383455524666,52.579846429419,52.72556070628,50.23307965471,2695000.0
9164,GE,2000-01-12,29.210585675551,29.392354181675,29.634067620669,29.113900299953,18342300.0
4578,IBM,2000-01-12,87.812878844048,87.724787007722,89.560033597842,86.807163712662,6803800.0
18335,BA,2000-01-13,29.290349746821,28.661395111297,29.337690418312,28.404402894631,3035100.0
13749,CA,2000-01-13,52.579846429419,49.082703784755,52.579846429419,49.082703784755,1342000.0
