,Date,Open,High,Low,Close,Adjusted_Close,Volume,Dividends
176,1998-09-15,105.87,108.44,105.12,108.31,17.6422,12341900.0,0.0
175,1998-09-14,104.94,107.06,104.87,106.0,17.266,11271700.0,0.0
174,1998-09-11,101.12,104.62,100.12,104.25,16.9809,14747300.0,0.0
173,1998-09-10,100.0,101.12,98.69,100.75,16.4108,15189500.0,0.0
172,1998-09-09,102.25,104.44,101.62,102.25,16.6551,16370200.0,0.0
171,1998-09-08,100.0,102.06,99.06,101.97,16.6095,15156400.0,0.0
170,1998-09-04,99.69,100.25,96.12,96.62,15.7381,12722600.0,0.0
169,1998-09-03,98.75,100.75,98.37,99.25,16.1665,16876700.0,0.0
168,1998-09-02,101.81,104.25,100.25,100.56,16.3799,15859600.0,0.0
167,1998-09-01,95.25,101.75,94.5,101.25,16.4923,35028100.0,0.0
166,1998-08-31,104.87,106.5,95.75,95.94,15.6273,33172600.0,0.0
165,1998-08-28,108.25,109.62,104.75,105.25,17.1438,18182500.0,0.0
164,1998-08-27,110.56,112.75,108.5,109.25,17.7953,18718500.0,0.0
163,1998-08-26,111.25,113.75,110.87,112.56,18.3345,11201100.0,0.0
162,1998-08-25,111.37,113.69,111.12,112.81,18.3752,14506700.0,0.0
161,1998-08-24,110.31,112.0,110.0,110.37,17.9778,6579800.0,0.0
160,1998-08-21,111.12,111.87,108.75,110.62,18.0185,14880900.0,0.0
159,1998-08-20,110.12,112.75,109.69,112.56,18.3345,12492600.0,0.0
158,1998-08-19,112.25,112.75,110.25,110.56,18.0087,13927400.0,0.0
157,1998-08-18,107.87,111.81,107.37,111.25,18.1211,17647800.0,0.0
156,1998-08-17,103.5,107.37,103.0,107.31,17.4793,13518300.0,0.0
155,1998-08-14,104.69,105.06,103.5,104.25,16.9809,7391600.0,0.0
154,1998-08-13,104.12,106.0,103.75,103.94,16.9304,12798300.0,0.0
153,1998-08-12,104.31,105.19,103.0,105.06,17.1128,13440000.0,0.0
152,1998-08-11,102.87,104.37,102.0,103.44,16.849,15244100.0,0.0
151,1998-08-10,105.81,106.31,104.44,104.44,17.0119,11690800.0,0.0
150,1998-08-07,107.44,107.5,105.06,105.87,17.2448,13743100.0,0.0
149,1998-08-06,103.75,106.94,103.62,106.87,17.4077,17077000.0,0.0
148,1998-08-05,104.12,106.25,101.5,104.31,16.9907,30052200.0,0.0
147,1998-08-04,108.62,109.62,104.19,104.5,17.0216,22853000.0,0.0
146,1998-08-03,109.12,110.87,107.37,108.44,17.6634,18391600.0,0.0
145,1998-07-31,112.94,113.52,109.94,109.94,17.9077,13426300.0,0.0
144,1998-07-30,111.94,113.62,110.75,113.44,18.4778,18186600.0,0.0
143,1998-07-29,113.25,114.25,110.06,110.69,18.0299,14934500.0,0.0
142,1998-07-28,116.0,116.87,112.0,112.25,18.284,19594600.0,0.0
141,1998-07-27,113.12,116.75,110.69,116.75,19.017,14749500.0,0.0
140,1998-07-24,113.75,115.62,112.5,113.81,18.5381,15091600.0,0.0
139,1998-07-23,116.31,117.5,113.0,113.0,18.4062,12757400.0,0.0
138,1998-07-22,112.0,117.25,111.87,116.75,19.017,17913600.0,0.0
137,1998-07-21,116.87,119.0,112.5,112.81,18.3752,18651300.0,0.0
136,1998-07-20,118.19,119.5,116.81,117.0,19.0577,11448700.0,0.0
135,1998-07-17,117.5,119.62,115.94,117.94,19.2108,20777100.0,0.0
134,1998-07-16,118.06,118.87,116.62,117.37,19.118,16281300.0,0.0
133,1998-07-15,116.0,118.0,115.62,117.37,19.118,12172500.0,0.0
132,1998-07-14,118.25,118.75,115.5,116.5,18.9763,14243100.0,0.0
131,1998-07-13,114.12,118.25,113.62,117.56,19.1489,17305800.0,0.0
130,1998-07-10,111.12,113.25,109.87,113.19,18.4371,11349200.0,0.0
129,1998-07-09,110.0,112.0,109.75,111.0,18.0804,10922500.0,0.0
128,1998-07-08,108.12,110.12,106.75,109.87,17.8963,10388400.0,0.0
127,1998-07-07,107.81,108.56,106.5,107.94,17.582,8105700.0,0.0
126,1998-07-06,106.87,108.06,105.37,107.81,17.5608,8826900.0,0.0
125,1998-07-02,108.81,109.12,107.12,107.25,17.4696,6830300.0,0.0
124,1998-07-01,109.12,110.12,107.19,109.37,17.8149,13367600.0,0.0
123,1998-06-30,105.25,108.56,104.62,108.37,17.652,19252500.0,0.0
122,1998-06-29,105.5,107.69,105.25,107.44,17.5005,16476500.0,0.0
121,1998-06-26,102.25,104.62,102.0,104.44,17.0119,13920100.0,0.0
120,1998-06-25,105.87,106.87,101.37,101.56,16.5427,22242400.0,0.0
119,1998-06-24,101.69,105.12,99.94,104.94,17.0933,26431200.0,0.0
118,1998-06-23,95.81,100.87,95.25,100.75,16.4108,31168800.0,0.0
117,1998-06-22,94.75,95.94,93.69,95.81,15.6061,12242400.0,0.0
116,1998-06-19,92.87,94.75,92.5,94.69,15.4237,22806700.0,0.0
115,1998-06-18,90.81,91.75,90.37,91.19,14.8536,9807100.0,0.0
114,1998-06-17,89.94,92.37,89.75,91.06,14.8324,19036900.0,0.0
113,1998-06-16,86.31,89.94,85.5,89.87,14.6386,15284600.0,0.0
112,1998-06-15,84.69,87.31,84.56,85.94,13.9985,10711500.0,0.0
111,1998-06-12,84.87,86.12,84.0,85.75,13.9675,10330900.0,0.0
110,1998-06-11,86.44,87.12,85.12,85.31,13.8958,10317800.0,0.0
109,1998-06-10,86.62,88.37,85.87,86.0,14.0082,8322600.0,0.0
108,1998-06-09,85.31,87.56,85.25,87.06,14.1809,8922600.0,0.0
107,1998-06-08,85.62,86.31,85.0,85.69,13.9577,4721600.0,0.0
106,1998-06-05,85.87,86.5,84.75,86.25,14.049,8607900.0,0.0
105,1998-06-04,84.69,86.12,83.62,86.06,14.018,8429400.0,0.0
104,1998-06-03,85.87,86.44,84.12,84.31,13.733,9002700.0,0.0
103,1998-06-02,84.06,85.94,83.87,85.5,13.9268,9642700.0,0.0
102,1998-06-01,83.87,84.61,83.12,83.75,13.6417,10609200.0,0.0
101,1998-05-29,86.37,86.5,84.75,84.81,13.8144,8522800.0,0.0
100,1998-05-28,85.75,86.37,85.06,86.31,14.0587,7686700.0,0.0
99,1998-05-27,82.87,86.12,82.87,86.0,14.0082,14643600.0,0.0
98,1998-05-26,85.31,86.19,83.5,83.62,13.6206,11118400.0,0.0
97,1998-05-22,86.62,86.75,85.44,85.56,13.9366,9032300.0,0.0
96,1998-05-21,85.81,87.37,85.5,86.37,14.0685,9170000.0,0.0
95,1998-05-20,86.12,86.87,85.37,85.75,13.9675,8924700.0,0.0
94,1998-05-19,85.81,86.94,85.56,86.5,14.0897,13058600.0,0.0
93,1998-05-18,84.5,86.5,84.5,86.06,14.018,20098900.0,0.0
92,1998-05-15,90.12,90.19,88.75,89.44,14.5686,12037700.0,0.0
91,1998-05-14,85.87,91.0,85.81,88.94,14.4871,23693600.0,0.0
90,1998-05-13,88.69,88.75,86.5,86.94,14.1613,20170100.0,0.0
89,1998-05-12,83.25,85.75,83.25,85.69,13.9577,16036800.0,0.0
88,1998-05-11,86.12,86.19,84.06,84.25,13.7232,12868600.0,0.0
87,1998-05-08,81.87,86.12,81.87,85.75,13.9675,24068700.0,0.0
86,1998-05-07,86.19,86.25,83.19,83.37,13.5798,19505500.0,0.0
85,1998-05-06,87.5,87.5,86.0,86.37,14.0685,12027700.0,0.0
84,1998-05-05,87.62,89.56,87.0,87.75,14.2933,12707000.0,0.0
83,1998-05-04,89.19,89.87,87.94,88.06,14.3438,9474900.0,0.0
