None,ticker,date,adj_open,adj_close,adj_high,adj_low,adj_volume
11,GE,2018-03-20,14.1,13.64,14.11,13.62,87699197.0
5,IBM,2018-03-20,157.52,156.2,157.93,155.29,4296935.0
10,GE,2018-03-21,13.66,13.88,13.96,13.57,64989359.0
4,IBM,2018-03-21,156.57,156.69,158.2,155.92,3240695.0
9,GE,2018-03-22,13.75,13.35,13.79,13.32,70929333.0
3,IBM,2018-03-22,155.0,152.09,155.2499,152.0,4617371.0
8,GE,2018-03-23,13.4,13.07,13.4499,13.02,82930120.0
2,IBM,2018-03-23,152.25,148.89,152.58,148.541,4389015.0
7,GE,2018-03-26,13.23,12.89,13.2395,12.73,101095809.0
1,IBM,2018-03-26,151.21,153.37,153.657,150.28,4038586.0
6,GE,2018-03-27,12.92,13.44,13.72,12.82,153476613.0
0,IBM,2018-03-27,153.95,151.91,154.8697,151.16,3810994.0
