model, step, date, cash, portfolio, reward,asset0_price,asset1_price,asset0_qty,asset1_qty
ppo2, 0,1998-01-02T00:00:00.000000000,10000,10000,0,16.25, 131.13,0, 0,
ppo2, 1,1998-01-05T00:00:00.000000000,9779.024381212592,9998.46823536098,-1.5317646390194568,15.88, 130.38,0.9669144749641418, 1.5653417110443115,
ppo2, 2,1998-01-06T00:00:00.000000000,9952.493528863788,10000.257434427143,1.789199066162837,18.94, 131.13,0.5136114358901978, 0.29006409645080566,
ppo2, 3,1998-01-07T00:00:00.000000000,9962.406198359131,9998.367767918706,-1.8896665084375854,17.5, 129.56,1.184008240699768, 0.11763989925384521,
ppo2, 4,1998-01-08T00:00:00.000000000,9884.387617080807,10000.538637183308,2.1708692646025156,18.19, 130.5,2.38690984249115, 0.557341992855072,
ppo2, 5,1998-01-09T00:00:00.000000000,9828.500177944303,9996.354434065222,-4.184203118085861,18.19, 127.0,0.8811136484146118, 1.195486605167389,
ppo2, 6,1998-01-12T00:00:00.000000000,9972.609027833343,9996.432758659721,0.07832459449855378,18.25, 129.5,1.3054099082946777, 0.0,
ppo2, 7,1998-01-13T00:00:00.000000000,9996.432758659721,9996.432758659721,0.0,19.5, 132.13,0.0, 0.0,
ppo2, 8,1998-01-14T00:00:00.000000000,9988.047145993114,9996.540266514421,0.1075078547000885,19.75, 131.13,0.430031418800354, 0.0,
ppo2, 9,1998-01-15T00:00:00.000000000,9779.905174516141,9997.94276878178,1.402502267359523,19.19, 132.31,0.7413780987262726, 1.5404016971588135,
ppo2, 10,1998-01-16T00:00:00.000000000,9679.952415777445,10005.008686987758,7.065918205977141,18.81, 135.25,0.0, 2.4033735394477844,
ppo2, 11,1998-01-20T00:00:00.000000000,9754.68553061992,10009.738477549256,4.7297905614977935,19.06, 137.81,0.07831385731697083, 1.8399266004562378,
ppo2, 12,1998-01-21T00:00:00.000000000,9606.46694486171,10007.300039447546,-2.438438101709835,18.91, 137.0,1.7946479618549347, 2.6780751943588257,
ppo2, 13,1998-01-22T00:00:00.000000000,9481.562097299397,10013.904830463529,6.60479101598321,19.25, 138.63,3.040200263261795, 3.417866826057434,
ppo2, 14,1998-01-23T00:00:00.000000000,9458.552678560316,10013.821285029351,-0.0835454341777222,19.5, 138.25,4.751966506242752, 3.3461501598358154,
ppo2, 15,1998-01-26T00:00:00.000000000,9557.698853035867,10022.2317667225,8.41048169314854,19.44, 141.75,5.66567924618721, 2.50012069940567,
ppo2, 16,1998-01-27T00:00:00.000000000,9551.648727686703,10029.691169045269,7.459402322769165,19.12, 145.19,5.002382308244705, 2.6337687969207764,
ppo2, 17,1998-01-28T00:00:00.000000000,9703.62731873542,10036.066725566685,6.3755565214160015,19.19, 149.0,5.051316499710083, 1.5805680751800537,
ppo2, 18,1998-01-29T00:00:00.000000000,9635.270220777094,10030.929960062802,-5.136765503882998,18.5, 148.25,5.256659388542175, 2.012894034385681,
ppo2, 19,1998-01-30T00:00:00.000000000,9342.914992434979,10033.643951696009,2.7139916332071152,18.31, 149.19,5.364315643906593, 3.9715017080307007,
ppo2, 20,1998-02-02T00:00:00.000000000,9629.840435777902,10041.14805478826,7.504103092251171,17.69, 154.88,5.989905849099159, 1.9715017080307007,
ppo2, 21,1998-02-03T00:00:00.000000000,9527.783630827664,10048.405644190161,7.257589401900987,18.31, 155.88,7.795830026268959, 2.4241747856140137,
ppo2, 22,1998-02-04T00:00:00.000000000,9601.811380933523,10049.997931950837,1.59228776067539,18.25, 156.81,6.3350978046655655, 2.120853364467621,
ppo2, 23,1998-02-05T00:00:00.000000000,9637.638980070353,10047.725812776536,-2.2721191743003146,18.31, 155.44,6.063181832432747, 1.9240219593048096,
ppo2, 24,1998-02-06T00:00:00.000000000,9703.746730038525,10052.936519725623,5.210706949086671,18.5, 158.13,5.849375739693642, 1.5239128470420837,
ppo2, 25,1998-02-09T00:00:00.000000000,9411.037847148778,10054.111833755824,1.1753140302007523,19.19, 157.19,6.239043727517128, 3.32938951253891,
ppo2, 26,1998-02-10T00:00:00.000000000,9381.579358462694,10062.917211688164,8.80537793233998,19.44, 159.25,5.555972293019295, 3.600186824798584,
ppo2, 27,1998-02-11T00:00:00.000000000,9350.175199842157,10059.204578399362,-3.7126332888019533,19.0, 158.94,5.781792834401131, 3.7698207795619965,
ppo2, 28,1998-02-12T00:00:00.000000000,9123.937562435569,10060.349883273097,1.1453048737348581,19.37, 158.75,5.763347789645195, 5.195441097021103,
ppo2, 29,1998-02-13T00:00:00.000000000,9176.2374424015,10055.049339977355,-5.3005432957415906,19.5, 157.5,5.879137188196182, 4.851864904165268,
ppo2, 30,1998-02-17T00:00:00.000000000,8914.423627642245,10035.998843357414,-19.05049661994053,19.62, 154.38,7.001492410898209, 6.375216573476791,
ppo2, 31,1998-02-18T00:00:00.000000000,8707.08963961944,10045.837529919298,9.83868656188315,20.56, 154.63,8.463380008935928, 7.532437413930893,
ppo2, 32,1998-02-19T00:00:00.000000000,8735.500561385006,10046.680081688017,0.8425517687192041,20.44, 154.88,8.326459854841232, 7.3669078052043915,
ppo2, 33,1998-02-20T00:00:00.000000000,8443.612321913093,10045.74288130477,-0.9372003832468181,20.0, 155.13,7.4521075785160065, 9.366907805204391,
ppo2, 34,1998-02-23T00:00:00.000000000,8198.728773970455,9261.734574036152,-784.0083072686175,21.25, 81.62,8.503510624170303, 10.809926480054855,
ppo2, 35,1998-02-24T00:00:00.000000000,8068.307830204815,9268.372450888903,6.637876852750196,21.31, 82.12,9.590045601129532, 12.124948233366013,
ppo2, 36,1998-02-25T00:00:00.000000000,8126.357080414146,9310.233252999931,41.86080211102853,22.31, 84.94,9.857790619134903, 11.34858563542366,
ppo2, 37,1998-02-26T00:00:00.000000000,8197.626201247274,9327.988898826241,17.755645826309774,23.5, 85.5,9.991585567593575, 10.47439107298851,
ppo2, 38,1998-02-27T00:00:00.000000000,8287.876157974302,9322.632126400173,-5.356772426068346,23.62, 84.75,11.550314262509346, 8.990413516759872,
ppo2, 39,1998-03-02T00:00:00.000000000,8239.485880892575,9299.122038306445,-23.510088093727973,22.75, 83.31,10.895081594586372, 9.744004935026169,
ppo2, 40,1998-03-03T00:00:00.000000000,8272.149676618277,9314.32412882477,15.202090518325349,23.12, 84.5,11.830139830708504, 9.096587210893631,
ppo2, 41,1998-03-04T00:00:00.000000000,8286.814787046611,9312.71937991619,-1.604748908579495,24.44, 82.31,13.039450362324715, 8.592156797647476,
ppo2, 42,1998-03-05T00:00:00.000000000,8275.789923553764,9288.653977313637,-24.06540260255315,24.06, 80.06,14.855980828404427, 8.18672439455986,
ppo2, 43,1998-03-06T00:00:00.000000000,8178.0582761111855,9319.778773319722,31.12479600608458,24.44, 82.75,14.451064124703407, 9.529141873121262,
ppo2, 44,1998-03-09T00:00:00.000000000,8154.340980664194,9263.712880601734,-56.06589271798839,22.75, 79.59,15.278082147240639, 9.571498066186905,
ppo2, 45,1998-03-10T00:00:00.000000000,8078.291951407493,9305.217693455816,41.50481285408205,24.06, 81.5,17.089413657784462, 10.009257048368454,
ppo2, 46,1998-03-11T00:00:00.000000000,8098.779655261338,9329.347137503624,24.129444047808647,26.12, 80.69,15.710249200463295, 10.16502383351326,
ppo2, 47,1998-03-12T00:00:00.000000000,8143.033521235883,9354.8604727,25.51333519637592,27.0, 81.87,16.39445348083973, 9.39509841799736,
ppo2, 48,1998-03-13T00:00:00.000000000,8279.054119776189,9360.665863352417,5.805390652416463,27.12, 82.37,17.035543516278267, 7.522250860929489,
ppo2, 49,1998-03-16T00:00:00.000000000,8193.933376093804,9350.049229408949,-10.616633943467605,26.69, 82.0,17.44362224638462, 8.421287506818771,
ppo2, 50,1998-03-17T00:00:00.000000000,8255.276585269869,9331.642226479948,-18.407002929001465,26.34, 80.37,18.58228601515293, 7.302578419446945,
ppo2, 51,1998-03-18T00:00:00.000000000,8154.970742201507,9354.886919943989,23.24469346404112,26.94, 81.75,20.58228601515293, 7.895160764455795,
ppo2, 52,1998-03-19T00:00:00.000000000,8132.961473363936,9352.733400135785,-2.1535198082037823,26.75, 82.0,21.624861612915993, 7.820815593004227,
ppo2, 53,1998-03-20T00:00:00.000000000,8042.840101491213,9342.70029608205,-10.03310405373486,26.37, 81.81,22.00497768819332, 8.795855432748795,
ppo2, 54,1998-03-23T00:00:00.000000000,8195.22168996185,9351.091968425513,8.391672343463142,26.12, 83.87,22.431159391999245, 6.7958554327487946,
ppo2, 55,1998-03-24T00:00:00.000000000,8263.238770454229,9398.342263310851,47.25029488533801,28.0, 84.94,21.575115397572517, 6.25147470831871,
ppo2, 56,1998-03-25T00:00:00.000000000,8235.438318591418,9406.998271207216,8.656007896364827,27.16, 88.81,20.951562717556953, 6.784320563077927,
ppo2, 57,1998-03-26T00:00:00.000000000,8125.503992091717,9389.39751766205,-17.6007535451663,26.56, 88.25,22.204991176724434, 7.638855069875717,
ppo2, 58,1998-03-27T00:00:00.000000000,8063.795689988734,9394.63388351053,5.236365848481,26.94, 87.81,23.11680068075657, 8.063678205013275,
ppo2, 59,1998-03-30T00:00:00.000000000,7977.6014573591965,9407.079822785261,12.445939274730335,27.44, 87.94,22.490117326378822, 9.237543165683746,
ppo2, 60,1998-03-31T00:00:00.000000000,7815.345680267217,9425.354509227576,18.274686442315215,27.5, 89.5,23.342108622193336, 10.816769182682037,
ppo2, 61,1998-04-01T00:00:00.000000000,7677.7031048542285,9436.315963670912,10.961454443335242,27.5, 90.37,22.545728281140327, 12.599372923374176,
ppo2, 62,1998-04-02T00:00:00.000000000,7813.037352940442,9442.28176533744,5.965801666528932,27.31, 91.31,22.936901822686195, 10.982779800891876,
ppo2, 63,1998-04-03T00:00:00.000000000,7756.86745161772,9456.458674625459,14.176909288018578,27.06, 93.0,22.525733068585396, 11.720912754535675,
ppo2, 64,1998-04-06T00:00:00.000000000,7688.785898363592,9400.061163808854,-56.39751081660506,26.25, 89.94,21.958653047680855, 12.61797446012497,
ppo2, 65,1998-04-07T00:00:00.000000000,7531.191070111992,9344.961512635055,-55.09965117379943,25.5, 87.25,22.675510838627815, 14.160973250865936,
ppo2, 66,1998-04-08T00:00:00.000000000,7475.453109803202,9358.983818275334,14.022305640279228,25.0, 88.94,22.32498885691166, 14.902248561382294,
ppo2, 67,1998-04-09T00:00:00.000000000,7405.342331415417,9374.973013254705,15.98919497937095,25.62, 89.0,24.32498885691166, 15.12836480140686,
ppo2, 68,1998-04-13T00:00:00.000000000,7511.114896017315,9391.048031615617,16.07501836091251,26.44, 88.62,25.859000220894814, 13.498320579528809,
ppo2, 69,1998-04-14T00:00:00.000000000,7481.8944046655315,9401.679564096334,10.631532480716487,26.94, 88.44,26.20409668982029, 13.725088134407997,
ppo2, 70,1998-04-15T00:00:00.000000000,7355.6657653155935,9458.878568456621,57.19900436028729,27.44, 91.37,26.967076435685158, 14.919954314827919,
ppo2, 71,1998-04-16T00:00:00.000000000,7470.130686505736,9493.6198250331,34.74125657647892,28.62, 91.69,25.626180544495583, 14.069886043667793,
ppo2, 72,1998-04-17T00:00:00.000000000,7496.903610120119,9480.490076564553,-13.129748468547405,27.94, 92.12,27.626180544495583, 13.153614655137062,
ppo2, 73,1998-04-20T00:00:00.000000000,7351.7643203374755,9546.607967560292,66.1178909957398,29.0, 94.62,27.66342394053936, 14.717864647507668,
ppo2, 74,1998-04-21T00:00:00.000000000,7310.833200843037,9550.395688408167,3.78772084787488,29.0, 94.87,27.662006214261055, 15.15088339149952,
ppo2, 75,1998-04-22T00:00:00.000000000,7231.636845532358,9574.476742417664,24.081054009497166,27.5, 98.87,27.062835708260536, 16.168826892971992,
ppo2, 76,1998-04-23T00:00:00.000000000,7088.896845532358,9499.840907679947,-74.63583473771723,27.69, 94.5,25.062835708260536, 18.168826892971992,
ppo2, 77,1998-04-24T00:00:00.000000000,6966.860686299652,9460.008816096039,-39.83209158390855,27.94, 92.12,25.292428135871887, 19.39294059574604,
ppo2, 78,1998-04-27T00:00:00.000000000,6937.216405092328,9419.85715600401,-40.15166009202767,27.75, 90.31,26.232841312885284, 19.429513946175575,
ppo2, 79,1998-04-28T00:00:00.000000000,6949.779229743927,9389.489602523148,-30.367553480862625,26.94, 89.87,27.168191373348236, 19.002996519207954,
ppo2, 80,1998-04-29T00:00:00.000000000,6843.5187255661185,9403.590499043017,14.100896519868911,27.0, 90.5,29.077209174633026, 19.613117411732674,
ppo2, 81,1998-04-30T00:00:00.000000000,6994.31369417116,9407.401756734103,3.8112576910862117,27.37, 90.12,28.813441693782806, 18.02556772530079,
ppo2, 82,1998-05-01T00:00:00.000000000,6937.98876017794,9415.447936158329,8.046179424225556,28.0, 89.62,27.814525961875916, 18.953943863511086,
ppo2, 83,1998-05-04T00:00:00.000000000,6913.253251355737,9416.98034534052,1.5324091821912589,29.06, 88.06,29.137869954109192, 18.81649549305439,
ppo2, 84,1998-05-05T00:00:00.000000000,6782.079095481485,9430.458314228355,13.477968887835232,29.69, 87.75,31.071502327919006, 19.667992189526558,
ppo2, 85,1998-05-06T00:00:00.000000000,6687.069955045431,9421.81921415448,-8.639100073874943,30.31, 86.37,31.74547904729843, 20.522679045796394,
ppo2, 86,1998-05-07T00:00:00.000000000,6565.060838466733,9351.834302603602,-69.98491155087868,30.19, 83.37,31.34933912754059, 22.074330285191536,
ppo2, 87,1998-05-08T00:00:00.000000000,6541.767114677279,9413.826040925083,61.991738321481535,30.44, 85.75,29.792543053627014, 22.917480066418648,
ppo2, 88,1998-05-11T00:00:00.000000000,6462.238315963595,9392.617983588574,-21.208057336509228,30.94, 84.25,29.46620738506317, 23.960774019360542,
ppo2, 89,1998-05-12T00:00:00.000000000,6406.603773388116,9403.263702479599,10.645718891024444,30.12, 85.69,29.945446759462357, 24.44512863457203,
ppo2, 90,1998-05-13T00:00:00.000000000,6263.864066185204,9445.433135709909,42.16943323031046,30.44, 86.94,30.378799110651016, 25.958574011921883,
ppo2, 91,1998-05-14T00:00:00.000000000,6213.984558825938,9486.087417838124,40.65428212821462,30.06, 88.94,31.180804640054703, 26.25149394571781,
ppo2, 92,1998-05-15T00:00:00.000000000,6113.519147112815,9483.428662528244,-2.65875530987978,29.56, 89.44,32.315190464258194, 26.997679844498634,
ppo2, 93,1998-05-18T00:00:00.000000000,6281.340688239781,9364.254881872086,-119.17378065615776,28.5, 86.06,32.14679837226868, 25.176974669098854,
ppo2, 94,1998-05-19T00:00:00.000000000,6266.654194308964,9404.018488400128,39.763606528042146,29.37, 86.5,33.03447777032852, 25.053661063313484,
ppo2, 95,1998-05-20T00:00:00.000000000,6438.240917679516,9392.511284107863,-11.50720429226567,29.56, 85.75,31.952161371707916, 23.437486603856087,
