model, step, date, cash, portfolio, reward,asset0_price,asset1_price,asset2_price,asset3_price,asset0_qty,asset1_qty,asset2_qty,asset3_qty
ppo2, 0,2000-01-03T00:00:00.000000000,10000,10000,0,27.180308388934, 53.684207264575996, 29.005612679284, 85.155441781555,0, 0, 0, 0
ppo2, 0,2000-01-03T00:00:00.000000000,10000,10000,0,27.180308388934, 53.684207264575996, 29.005612679284, 85.155441781555,0, 0, 0, 0,
ppo2, 0,2000-01-03T00:00:00.000000000,10000,10000,0,27.180308388934, 53.684207264575996, 29.005612679284, 85.155441781555,0, 0, 0, 0
