model, step, date, cash, portfolio, reward,asset0_price,asset1_price,asset0_qty,asset1_qty
ppo2, 61,1998-04-01T00:00:00.000000000,8468.639722991886,9632.618208184616,10.31611882857942,27.5, 90.37,3.3602350503206253, 11.85760784894228,
ppo2, 62,1998-04-02T00:00:00.000000000,8385.704737696948,9644.157736508327,11.539528323710329,27.31, 91.31,3.0048950761556625, 12.883466370403767,
ppo2, 63,1998-04-03T00:00:00.000000000,8321.550700332227,9665.723581427637,21.56584491931062,27.06, 93.0,3.856526419520378, 13.331347055733204,
ppo2, 64,1998-04-06T00:00:00.000000000,8241.352784616653,9619.129732555155,-46.59384887248234,26.25, 89.94,3.3914971500635147, 14.328998751938343,
ppo2, 65,1998-04-07T00:00:00.000000000,8212.936612989832,9577.192075507794,-41.93765704736143,25.5, 87.25,3.416189007461071, 14.637738026678562,
ppo2, 66,1998-04-08T00:00:00.000000000,8133.2030975037105,9600.698742552479,23.506667044684946,25.0, 88.94,4.490136913955212, 15.237713314592838,
ppo2, 67,1998-04-09T00:00:00.000000000,8103.665313666392,9603.537290335375,2.8385477828960575,25.62, 89.0,3.0318781659007072, 15.979722000658512,
ppo2, 68,1998-04-13T00:00:00.000000000,7947.025703657198,9600.197236487347,-3.34005384802731,26.44, 88.62,4.016287259757519, 17.4563405290246,
ppo2, 69,1998-04-14T00:00:00.000000000,7954.89183156066,9598.172581285018,-2.024655202329086,26.94, 88.44,2.378885917365551, 17.856100894510746,
ppo2, 70,1998-04-15T00:00:00.000000000,7816.836629796553,9655.658545493785,57.485964208766745,27.44, 91.37,3.8962632939219475, 18.9548916593194,
ppo2, 71,1998-04-16T00:00:00.000000000,7832.597469874847,9665.487080181094,9.828534687309002,28.62, 91.69,3.1771709844470024, 18.998352892696857,
ppo2, 72,1998-04-17T00:00:00.000000000,7846.952219675111,9672.301009171682,6.813928990588465,27.94, 92.12,2.1056748554110527, 19.17625091224909,
ppo2, 73,1998-04-20T00:00:00.000000000,7826.461581606197,9723.338219727952,51.0372105562692,29.0, 94.62,3.127986542880535, 19.08861792832613,
ppo2, 74,1998-04-21T00:00:00.000000000,7863.827864631939,9728.0477031,4.7094833720475435,29.0, 94.87,2.657416842877865, 18.837933488190174,
ppo2, 75,1998-04-22T00:00:00.000000000,7888.534922490346,9797.918886864187,69.87118376418766,27.5, 98.87,2.8236848637461662, 18.526677764952183,
ppo2, 76,1998-04-23T00:00:00.000000000,7638.422067244279,9709.115653973522,-88.80323289066473,27.69, 94.5,4.728152327239513, 20.526677764952183,
ppo2, 77,1998-04-24T00:00:00.000000000,7545.834259072768,9660.162225175278,-48.953428798244204,27.94, 92.12,5.836334638297558, 21.181727923452854,
ppo2, 78,1998-04-27T00:00:00.000000000,7502.827627991664,9619.397854534911,-40.764370640366906,27.75, 90.31,4.522773794829845, 22.046985425055027,
ppo2, 79,1998-04-28T00:00:00.000000000,7542.384389120566,9606.429813359382,-12.968041175528924,26.94, 89.87,4.221418283879757, 21.701573558151722,
ppo2, 80,1998-04-29T00:00:00.000000000,7437.57613206059,9621.090078616144,14.660265256761704,27.0, 90.5,4.219324748963118, 22.868421860039234,
ppo2, 81,1998-04-30T00:00:00.000000000,7477.5637574061775,9613.976165064985,-7.1139135511584755,27.37, 90.12,3.9028649143874645, 22.520983077585697,
ppo2, 82,1998-05-01T00:00:00.000000000,7443.155547349754,9605.365138464127,-8.611026600858168,28.0, 89.62,4.390887837857008, 22.75457187741995,
ppo2, 83,1998-05-04T00:00:00.000000000,7396.068286717239,9574.009314653653,-31.35582381047425,29.06, 88.06,4.5890323631465435, 23.218075715005398,
ppo2, 84,1998-05-05T00:00:00.000000000,7203.6948553481725,9569.435164329301,-4.574150324351649,29.69, 87.75,5.148338329046965, 25.218075715005398,
ppo2, 85,1998-05-06T00:00:00.000000000,7272.75459451467,9539.803422766145,-29.631741563156538,30.31, 86.37,5.968238364905119, 24.15365894883871,
ppo2, 86,1998-05-07T00:00:00.000000000,7179.064642818721,9463.453179598415,-76.35024316772979,30.19, 83.37,6.055262263864279, 25.207870565354824,
ppo2, 87,1998-05-08T00:00:00.000000000,7130.847905250119,9526.36333014235,62.91015054393574,30.44, 85.75,6.0141757763922215, 25.801095210015774,
ppo2, 88,1998-05-11T00:00:00.000000000,7078.289073452132,9491.273379064874,-35.089951077476144,30.94, 84.25,7.490236405283213, 25.890046186745167,
ppo2, 89,1998-05-12T00:00:00.000000000,6938.3655054453775,9525.634846059682,34.361466994807415,30.12, 85.69,6.874721650034189, 27.77690190821886,
ppo2, 90,1998-05-13T00:00:00.000000000,6994.4242973765,9561.95482156508,36.31997550539745,30.44, 86.94,5.0594850815832615, 27.760752223432064,
